#,Title,Company,URL,Location,State,Salary,Date Posted,Expiration Date
1,"Associate Principal Scientist, Engineering- Biologics, Sterile Drug Product Commercialization",Merck,https://www.indeed.com/viewjob?jk=1d9c8764f48590de,"West Point, PA, US",PA,"$142,400",2026-01-24,2026-02-05
2,"(Senior) Medical Science Liaison - Mid Atlantic-North (DC, MD, DE, NJ, PA)",BioNTech,https://www.indeed.com/viewjob?jk=8be869abdc20f31e,"Philadelphia, PA, US",PA,"$146,300",2026-01-24,N/A
3,"Scientist I, Immunosafety",AbbVie,https://www.indeed.com/viewjob?jk=ec03dea6471e358b,"Worcester, MA, US",MA,N/A,2026-01-24,N/A
4,Scientist I,AbbVie,https://www.indeed.com/viewjob?jk=cf9e1a26cf2fb45e,"Worcester, MA, US",MA,N/A,2026-01-24,N/A
5,"Senior Director, Strategic Therapeutic Area Lead, Autoantibody Pipeline, US Medical Affairs- Immunology",Johnson & Johnson,https://www.indeed.com/viewjob?jk=2e64224e5d841b9c,"Horsham, PA, US",PA,N/A,2026-01-24,N/A
6,"Associate Director, Safety Analysis Scientist",Johnson & Johnson,https://www.indeed.com/viewjob?jk=99da6a8f8f1b6c98,"Horsham, PA, US",PA,"$137,000",2026-01-24,2026-02-05
7,"Experienced Scientist, Sample Logistics & Inventory Management",Johnson & Johnson,https://www.indeed.com/viewjob?jk=002c7410cd3b1154,"Spring House, PA, US",PA,N/A,2026-01-24,N/A
8,Health Care Case Manager (RN) for Mercer North (Lawrenceville),Rutgers University,https://www.indeed.com/viewjob?jk=b9437face6513bba,"Lawrenceville, NJ, US",NJ,N/A,2026-01-24,N/A
9,Electrical Engineer,Genesis AEC,https://www.indeed.com/viewjob?jk=40e1890754e05c90,"Blue Bell, PA, US",PA,"$1,000",2026-01-24,N/A
10,"Senior Laboratory Operations Analyst - Automation Engineer, R&D Therapeutics Discovery",Johnson & Johnson,https://www.indeed.com/viewjob?jk=d1e715c10cfa5ac0,"Spring House, PA, US",PA,N/A,2026-01-24,N/A
11,Systems Engineer,Grantek Systems Integration,https://www.indeed.com/viewjob?jk=fa7b07273ebb5bdd,"Allentown, PA, US",PA,N/A,2026-01-24,N/A
12,Account Manager (Remote),m3usa,https://www.indeed.com/viewjob?jk=c4550fe1f9b21cfd,"Fort Washington, PA, US",PA,N/A,2026-01-24,N/A
13,"Director, Client Growth & Partnerships","Robert Michael Communications, Inc.",https://www.indeed.com/viewjob?jk=6ce92c03231d741d,"Philadelphia, PA, US",PA,N/A,2026-01-24,N/A
14,QA Coordinator,"Cold Chain Technologies, LLC.",https://www.indeed.com/viewjob?jk=eebfc2d650eb4ad4,"Bethlehem, PA, US",PA,$25,2026-01-24,N/A
15,Data Pipeline Analyst,AscellaHealth,https://www.indeed.com/viewjob?jk=a596b50414e920f7,"Berwyn, PA, US",PA,N/A,2026-01-24,N/A
16,Cell Therapy Manufacturing Specialist,Eurofins,https://www.indeed.com/viewjob?jk=ce3f7272946ec47e,"Exton, PA, US",PA,N/A,2026-01-24,N/A
17,Associate Director - Life Sciences Advisory - Medical Affairs/Real World Evidence (RWE),Guidehouse,https://www.indeed.com/viewjob?jk=24aa2468dbc045a6,"Philadelphia, PA, US",PA,"$135,000",2026-01-24,N/A
18,Life Sciences: Scientific and Laboratory Informatics Manager - Manager/Sr. Manager,Accenture,https://www.indeed.com/viewjob?jk=0f41536aab6661ea,"Philadelphia, PA, US",PA,"$94,400",2026-01-24,N/A
19,SAP EH&S Functional Expert,Avantor,https://www.indeed.com/viewjob?jk=479f71889b2fffd5,"Radnor, PA, US",PA,"$97,500",2026-01-24,N/A
20,"Lead, Area Health Information Specialist",Datavant,https://www.indeed.com/viewjob?jk=e505aacbc4830c44,"Voorhees, NJ, US",NJ,N/A,2026-01-24,N/A
21,Field Service Technician,"Hydro Service & Supplies, Inc.",https://www.indeed.com/viewjob?jk=ea676cd41c86c619,"Tullytown, PA, US",PA,$28,2026-01-24,N/A
22,"Research Scientist/ Senior Research Scientist, Precision Medicine",Aitia,https://www.indeed.com/viewjob?jk=42065918392afec0,"Cambridge, MA, US",MA,N/A,2026-01-24,N/A
23,Outside Sales Representative,Applied Industrial Technologies,https://www.indeed.com/viewjob?jk=547be819dee9e02f,"Boston, MA, US",MA,"$100,000",2026-01-24,N/A
24,"Research Scientist/ Senior Research Scientist, Precision Medicine",Aitia,https://www.indeed.com/viewjob?jk=8112f738f382eae5,"Cambridge, MA, US",MA,N/A,2026-01-24,N/A
25,Senior Mechanical Engineer,Nova Biomedical,https://www.indeed.com/viewjob?jk=d389761b18f5d343,"Norwood, MA, US",MA,$130k,2026-01-24,N/A
