#,Title,Company,URL,Location,State,Salary
1,Data Scientist,Psychogenics Inc,https://www.indeed.com/viewjob?jk=42e01c7169b5bbac,"Paramus, NJ, US",NJ,N/A
2,L&D Manager,Legend Biotech,https://www.indeed.com/viewjob?jk=3c97e85a06cf0ea6,"Somerset, NJ, US",NJ,N/A
3,Site Civil Engineer,VHB,https://www.indeed.com/viewjob?jk=59fb8e2f5f495ae3,"Manasquan, NJ, US",NJ,"$110,000"
4,Clinical Trial Manager,BioNTech,https://www.indeed.com/viewjob?jk=239392ec5cf265d8,"Berkeley Heights, NJ, US",NJ,"$122,600/year"
5,"Principal Scientist, Clinical Sciences",COMPASS Pathways,https://www.indeed.com/viewjob?jk=36c5be2a89855738,"New York, NY, US",NY,N/A
6,"Director, Global Product Strategy - Lung Cancer Therapies",BioNTech,https://www.indeed.com/viewjob?jk=95ffb5394bd7e4af,"Berkeley Heights, NJ, US",NJ,"$168,100"
7,"Executive Director, Head Trial Analytics, Insights and Planning",Bristol Myers Squibb,https://www.indeed.com/viewjob?jk=4a6aaf25dc3591ec,"Princeton, NJ, US",NJ,"$257,180"
8,"Director, Global Product Strategy - Lung Cancer Therapies",BioNTech,https://www.indeed.com/viewjob?jk=4efde9c9a79f3747,"Berkeley Heights, NJ, US",NJ,"$168,100"
9,"Head, Translational Research and Biomarkers",Novartis,https://www.indeed.com/viewjob?jk=6d89457dea1aa5b9,"Cambridge, MA, US",MA,"$185,500"
10,Senior Editor,cradle,https://www.indeed.com/viewjob?jk=97495e04da284237,"Boston, MA, US",MA,N/A
11,"Principal Scientist in Cell, Molecular, and Immunology",GSK,https://www.indeed.com/viewjob?jk=a7343cc70c3a492d,"Cambridge, MA, US",MA,"$115,500"
12,"Director, AI/ML Strategy and Technology Enablement",Takeda Pharmaceuticals,https://www.indeed.com/viewjob?jk=da4e1e5a21d7416f,"Boston, MA, US",MA,"$174,500"
13,"Principal Scientist in Cell, Molecular, and Immunology",GSK,https://www.indeed.com/viewjob?jk=909f61b717ab973f,"Cambridge, MA, US",MA,"$115,500"
14,"Associate Director, Clinical Trials",BioNTech,https://www.indeed.com/viewjob?jk=cd2b82dd6f0d4b61,"Cambridge, MA, US",MA,"$146,300/year"
15,Field Application Scientist Chromatics,GeneData,https://www.indeed.com/viewjob?jk=43c9bb508990dba3,"Lexington, MA, US",MA,"$80,000"
16,"Senior/Principal Scientist, Medicinal Chemistry",nan,https://www.indeed.com/viewjob?jk=f3b246d5531ff557,"Watertown, MA, US",MA,N/A
17,Raven Senior Associate,nan,https://www.indeed.com/viewjob?jk=4c78535472527ebc,"Boston, MA, US",MA,$10
18,Director CTSM Supply Network Alliance Management,BioNTech,https://www.indeed.com/viewjob?jk=88912ec3d8513c63,"Cambridge, MA, US",MA,"$168,100/year"
19,"Associate Principal Scientist, In Vitro Quantitative Biosciences",Merck,https://www.indeed.com/viewjob?jk=8611838ffbcffe20,"Boston, MA, US",MA,"$144,800"
20,Staff / Principal Mechanical Engineer,Lila Sciences,https://www.indeed.com/viewjob?jk=14f25a4c2a9399b1,"Cambridge, MA, US",MA,"$163,400 – $228,000"
21,Postdoctoral Research Associate-Translational/Muscle Biology (Murine Models),Northeastern University,https://www.indeed.com/viewjob?jk=8ce7bfcc54853fc2,"Boston, MA, US",MA,"$59,425"
22,"Director, Global Clinical Operations",BioNTech,https://www.indeed.com/viewjob?jk=79d1f7afd4e4d198,"Cambridge, MA, US",MA,"$168,100/year"
23,Senior ML Scientist - Molecular AI,"Novo Nordisk, Inc.",https://www.indeed.com/viewjob?jk=feff188261927c03,"Lexington, MA, US",MA,N/A
24,Business Development Manager - Boston,Proteintech Group,https://www.indeed.com/viewjob?jk=a38faa17aafddccf,"Boston, MA, US",MA,"$120,000– $160,000 /year"
25,Pioneering Medicines: Principal Scientist Bioinformatics,"Flagship Pioneering, Inc.",https://www.indeed.com/viewjob?jk=f15e591c56c8520f,"Cambridge, MA, US",MA,$34
26,Regional Sales Manager – HPLC Chromatography Sales,AXCEND,https://www.indeed.com/viewjob?jk=d212bf9040c986c5,"Boston, MA, US",MA,$110
27,Molecular Biology Scientist/Senior Associate Scientist,Legend Biotech,https://www.indeed.com/viewjob?jk=978ed50cd20da9cc,"Philadelphia, PA, US",PA,N/A
28,Process Operator I,Catalent Pharma Solutions,https://www.indeed.com/viewjob?jk=f4421dbcef5201a1,"Malvern, PA, US",PA,N/A
29,Postdoctoral Associate,Rutgers University,https://www.indeed.com/viewjob?jk=d9b34f7e1a8218bd,"Piscataway, NJ, US",NJ,"$63,968"
30,Research Technician I,The Research Foundation for The State University of New York at Stony Brook,https://www.indeed.com/viewjob?jk=b7d9e76c72906849,"Stony Brook, NY, US",NY,"$35,000"
31,Research Technician B,Albert Einstein College of Medicine,https://www.indeed.com/viewjob?jk=6043623b29468790,"Bronx, NY, US",NY,$26
32,Postdoctoral Fellow-MSH-30035-391,Mount Sinai Health System,https://www.indeed.com/viewjob?jk=aeeb395bb2e968d8,"New York, NY, US",NY,$72500
33,"Senior Scientist, Stem Cell Biology - Hematology & Medical Oncology",Mount Sinai Health System,https://www.indeed.com/viewjob?jk=d2aca9e3aba92c24,"New York, NY, US",NY,$58661
34,"Senior Scientist, Megakaryocyte Stem Cell Biology - Hematology & Medical Oncology",Mount Sinai Health System,https://www.indeed.com/viewjob?jk=ebc03c18c7296929,"New York, NY, US",NY,$58661
35,"Associate Director, Precision Medicine",Regeneron,https://www.indeed.com/viewjob?jk=28d4c4785442b32a,"Armonk, NY, US",NY,"$176,100"
36,"Associate Scientist, In Vivo & In Vitro",Regeneron,https://www.indeed.com/viewjob?jk=81f1ddc0bcea9eda,"Tarrytown, NY, US",NY,"$70,300"
37,Technician A,Columbia University,https://www.indeed.com/viewjob?jk=be5fd9a9b7844fdb,"New York, NY, US",NY,"$46,529"
38,Postdoctoral Associate,The Research Foundation for The State University of New York at Stony Brook,https://www.indeed.com/viewjob?jk=86c1fb77886e6f19,"Stony Brook, NY, US",NY,"$53,000"
39,"Research Technician, Lowe Lab",Memorial Sloan Kettering Cancer Center,https://www.indeed.com/viewjob?jk=aeaa460e33fa1e63,"New York, NY, US",NY,$26
40,"Associate Director, Precision Medicine",Regeneron,https://www.indeed.com/viewjob?jk=ea35df626f3895f8,"Armonk, NY, US",NY,"$176,100"
41,"Associate Scientist, In Vivo & In Vitro",Regeneron,https://www.indeed.com/viewjob?jk=f83c4af1c81d8b65,"Tarrytown, NY, US",NY,"$70,300"
42,Research Assistant | Laboratory of Chemistry and Cell Biology,Rockefeller University,https://www.indeed.com/viewjob?jk=2ed8247b3383f212,"New York, NY, US",NY,"$50,000"
43,Postdoctoral Associate,Rutgers University,https://www.indeed.com/viewjob?jk=bc926694754104ef,"Piscataway, NJ, US",NJ,"$63,968"
44,Postdoctoral Associate,Hospital for Special Surgery,https://www.indeed.com/viewjob?jk=942dc3d66549026d,"New York, NY, US",NY,$23
